Artist Name,Track Name,Album,Release Year,Streams (in millions),Energy,Danceability
Drake,One Dance,Views,2016,3150,0.63,0.79
Drake,God's Plan,Scorpion,2018,2480,0.45,0.75
Drake,Hotline Bling,Views,2015,2100,0.62,0.89
Drake,In My Feelings,Scorpion,2018,1850,0.62,0.83
Drake,Passionfruit,More Life,2017,1720,0.46,0.8
Taylor Swift,Cruel Summer,Lover,2019,2500,0.7,0.55
Taylor Swift,Blank Space,1989,2014,2150,0.68,0.76
Taylor Swift,Anti-Hero,Midnights,2022,1680,0.64,0.64
Taylor Swift,Shake It Off,1989,2014,1620,0.79,0.65
Taylor Swift,Cardigan,folklore,2020,1420,0.48,0.61
Bad Bunny,Dakiti,El Último Tour Del Mundo,2020,2180,0.57,0.91
Bad Bunny,Me Porto Bonito,Un Verano Sin Ti,2022,1950,0.71,0.91
Bad Bunny,Tití Me Preguntó,Un Verano Sin Ti,2022,1820,0.71,0.65
Bad Bunny,Callaíta,Un Verano Sin Ti,2019,1650,0.62,0.61
Bad Bunny,Yonaguni,Single,2021,1540,0.65,0.64
The Weeknd,Blinding Lights,After Hours,2019,4350,0.73,0.51
The Weeknd,Starboy,Starboy,2016,3210,0.59,0.68
The Weeknd,Save Your Tears,After Hours,2020,2050,0.83,0.68
The Weeknd,The Hills,Beauty Behind the Madness,2015,2450,0.56,0.58
The Weeknd,Die For You,Starboy,2016,2300,0.52,0.58
Justin Bieber,Stay (with The Kid LAROI),F*CK LOVE 3,2021,3120,0.76,0.59
Justin Bieber,Love Yourself,Purpose,2015,2420,0.38,0.61
Justin Bieber,Sorry,Purpose,2015,2180,0.76,0.65
Justin Bieber,Peaches (feat. Daniel Caesar & GIVĒON),Justice,2021,1750,0.69,0.68
Justin Bieber,Ghost,Justice,2021,1550,0.74,0.6
Ariana Grande,7 rings,"thank u, next",2019,2250,0.32,0.78
Ariana Grande,"thank u, next","thank u, next",2018,1950,0.65,0.72
Ariana Grande,Side to Side (feat. Nicki Minaj),Dangerous Woman,2016,1620,0.74,0.65
Ariana Grande,positions,Positions,2020,1510,0.8,0.74
Ariana Grande,Into You,Dangerous Woman,2016,1420,0.73,0.62
Travis Scott,SICKO MODE,ASTROWORLD,2018,2350,0.73,0.83
Travis Scott,goosebumps,Birds in the Trap Sing McKnight,2016,2180,0.73,0.84
Travis Scott,FE!N (feat. Playboi Carti),UTOPIA,2023,1250,0.88,0.77
Travis Scott,HIGHEST IN THE ROOM,JACKBOYS,2019,1690,0.43,0.6
Travis Scott,BUTTERFLY EFFECT,ASTROWORLD,2018,1390,0.58,0.76
Ed Sheeran,Shape of You,÷ (Divide),2017,3950,0.65,0.83
Ed Sheeran,Perfect,÷ (Divide),2017,2890,0.45,0.6
Ed Sheeran,Thinking Out Loud,x (Multiply),2014,2600,0.45,0.78
Ed Sheeran,Bad Habits,= (Equals),2021,1920,0.89,0.81
Ed Sheeran,Photograph,x (Multiply),2014,2410,0.38,0.61
Billie Eilish,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,2580,0.43,0.7
Billie Eilish,lovely (with Khalid),13 Reasons Why,2018,2720,0.3,0.35
Billie Eilish,ocean eyes,Dont Smile at Me,2016,1620,0.37,0.51
Billie Eilish,everything i wanted,Single,2019,1580,0.23,0.7
Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,2024,1450,0.51,0.75
Post Malone,Sunflower (with Swae Lee),Spider-Man: Into the Spider-Verse,2018,3390,0.48,0.76
Post Malone,Circles,Hollywood's Bleeding,2019,2420,0.76,0.69
Post Malone,rockstar (feat. 21 Savage),beerbongs & bentleys,2017,2950,0.52,0.59
Post Malone,Congratulations (feat. Quavo),Stoney,2016,2100,0.81,0.63
Post Malone,Better Now,beerbongs & bentleys,2018,1950,0.56,0.68
Dua Lipa,Levitating,Future Nostalgia,2020,2150,0.82,0.7
Dua Lipa,Don't Start Now,Future Nostalgia,2019,2510,0.79,0.79
Dua Lipa,New Rules,Dua Lipa,2017,2010,0.7,0.76
Dua Lipa,One Kiss (with Calvin Harris),Dua Lipa (Complete Edition),2018,2180,0.86,0.79
Dua Lipa,Dance The Night,Barbie The Album,2023,1150,0.85,0.67
Eminem,Lose Yourself,8 Mile Soundtrack,2002,2250,0.74,0.69
Eminem,Without Me,The Eminem Show,2002,2100,0.67,0.91
Eminem,Till I Collapse,The Eminem Show,2002,1980,0.85,0.55
Eminem,The Real Slim Shady,The Marshall Mathers LP,2000,1820,0.66,0.95
Eminem,Mockingbird,Encore,2004,1710,0.89,0.64
BTS,Dynamite,BE,2020,1920,0.76,0.75
BTS,Butter,Butter,2021,1340,0.46,0.76
BTS,Boy With Luv (feat. Halsey),Map of the Soul: Persona,2019,1180,0.86,0.65
BTS,Life Goes On,BE,2020,690,0.54,0.57
BTS,Fake Love,Love Yourself: Tear,2018,780,0.72,0.52
Kendrick Lamar,HUMBLE.,DAMN.,2017,2350,0.62,0.9
Kendrick Lamar,All The Stars (with SZA),Black Panther Soundtrack,2018,1690,0.63,0.7
Kendrick Lamar,Money Trees,"good kid, m.A.A.d city",2012,1820,0.53,0.72
Kendrick Lamar,Not Like Us,Single,2024,1100,0.47,0.9
Kendrick Lamar,DNA.,DAMN.,2017,1280,0.52,0.64
Bruno Mars,Uptown Funk (with Mark Ronson),Uptown Special,2014,2150,0.61,0.86
Bruno Mars,That's What I Like,24K Magic,2016,2080,0.56,0.85
Bruno Mars,Just the Way You Are,Doo-Wops & Hooligans,2010,2150,0.84,0.64
Bruno Mars,Locked Out of Heaven,Unorthodox Jukebox,2012,2350,0.7,0.73
Bruno Mars,Die With A Smile (with Lady Gaga),Single,2024,1250,0.68,0.55
Coldplay,Yellow,Parachutes,2000,2450,0.52,0.43
Coldplay,Viva La Vida,Viva la Vida or Death and All His Friends,2008,2210,0.62,0.49
Coldplay,Something Just Like This (with The Chainsmokers),Memories...Do Not Open,2017,2680,0.64,0.62
Coldplay,The Scientist,A Rush of Blood to the Head,2002,2050,0.44,0.56
Coldplay,Fix You,X&Y,2005,1690,0.42,0.21
Olivia Rodrigo,drivers license,SOUR,2021,2290,0.43,0.59
Olivia Rodrigo,good 4 u,SOUR,2021,2210,0.66,0.56
Olivia Rodrigo,deja vu,SOUR,2021,1580,0.61,0.44
Olivia Rodrigo,traitor,SOUR,2021,1520,0.34,0.38
Olivia Rodrigo,vampire,GUTS,2023,1150,0.53,0.51
Harry Styles,As It Was,Harry's House,2022,3520,0.73,0.52
Harry Styles,Watermelon Sugar,Fine Line,2019,2720,0.82,0.55
Harry Styles,Sign of the Times,Harry Styles,2017,1650,0.57,0.52
Harry Styles,Adore You,Fine Line,2019,1720,0.77,0.68
Harry Styles,Golden,Fine Line,2019,1390,0.78,0.45
SZA,Kill Bill,SOS,2022,2150,0.73,0.64
SZA,Snooze,SOS,2022,1650,0.55,0.56
SZA,Good Days,SOS,2020,1280,0.66,0.44
SZA,Nobody Gets Me,SOS,2022,980,0.35,0.42
SZA,The Weekend,Ctrl,2017,1150,0.5,0.65
Arijit Singh,Tum Hi Ho,Aashiqui 2,2013,750,0.57,0.45
Arijit Singh,Channa Mereya,Ae Dil Hai Mushkil,2016,690,0.49,0.48
Arijit Singh,Kesariya,Brahmastra,2022,620,0.58,0.57
Arijit Singh,Apna Bana Le,Bhediya,2022,580,0.54,0.51
Arijit Singh,Shayad,Love Aaj Kal,2020,520,0.46,0.47
